"Plot","SampleID","Sample_Type","Aquatic_Type","Date","Landcover","Latitude","Longitude","Temp_water_degC","pH","DO_per","Cond_uscm","TDS_mgL","mvorp","Velocity_m_s","Discharge_m3s","WindSpeed_mean_ms","Temp_air_degC","Slope","DistancetoOutlet_m","CN","conc_CH4_mM","conc_CO2_mM","DOC_mgL","TDN_mgL","del_DIC","pCO2_uatm","CO2Flux_gm2d","k600","NOSC_median","NOSC_mean","NOSC_std","GFE_median","GFE_mean","GFE_std","DBE_median","DBE_mean","DBE_std","AI_median","AI_mean","AI_std","Shannon_Diversity","Raos_Elemental_Comp","Amino_sugar","Carbohydrate","Cond_HC","Lignin","Lipid","Protein","Tannin","Unsat_HC","Other","dist_km"
"28","28SW","surface","Lake",2023-07-17,"Peatland",68.35913,19.04457,15.65,6.9,58.6,0.08,37,65.2,NA,NA,2.8775,14.4847916666667,0.00190850538072757,1049.41507311126,18.2926350412496,0.005030722,0.548453636,6.110148871,0.334022346,-5.98,3034.13474862409,1.10995848929657,0.881627573334492,0.0769230769230771,0.0226368189385518,0.510296026927526,58.1076923076923,59.6548506602513,14.5434367674345,11,11.5312389692905,3.96789220572094,-0.0666666666666667,-0.221221203864695,0.955738764858475,7.66616430955552,0.253915547039742,0.85,0.49,17.7,56.63,1.3,5.85,16.61,0.46,0.11,1.04941507311126
"29","29SW","surface","Lake",2023-07-17,"Peatland",68.36039,19.04576,14.8,6.28,38,0.08,40,23,NA,NA,2.8775,14.4847916666667,0.00133001256853771,1170.70020363056,21.5872983310354,0.002679102,0.528632749,5.462572823,0.253045691,-7.78,6723.53441183162,2.67393407433006,0.881627573334492,-0.457142857142857,-0.426180885736834,0.372319419526726,73.3285714285714,72.4461552434998,10.6111034565117,11,10.8427172582619,3.69509848420099,0,-0.0768286027265484,0.376619786672011,7.16279046517814,0.244508699376985,0.79,0.18,2.81,78.21,3.66,11.54,1.95,0.85,NA,1.17070020363056
"3","3 Surf","surface","Stream",2023-07-12,"Tundra",68.32254,18.99652,15.6,6.91,62.3,0.06,27,117,0.139,0.0021128,5.20895833333333,19.27625,0.098898728413345,9490.87773955826,15.8428870246668,NA,0.363303228,2.066721691,0.130451078,-10.71,1973.45359163555,25.3052740891614,33.507187015917,-0.272727272727272,-0.249268687210035,0.441455091502712,68.0727272727273,67.404157585486,12.5814701078273,12,12.2491349480969,4.09307861158665,0,-0.0239851933047958,0.640961972729171,7.4972396985271,0.264351737049998,0.12,0.73,9.44,74.52,2,6.29,5.91,0.96,0.04,9.49087773955826
"30","30SW","surface","Lake",2023-07-17,"Peatland",68.35913,19.04255,16,7.83,65.1,0.08,39,22.09,NA,NA,2.8775,14.4847916666667,0.00197072972896674,969.136679851546,19.3203395648424,NA,0.550050415,5.385156624,0.278729916,-6.42,458.267548534327,0.0246745563729342,0.881627573334492,-0.068965517241379,-0.0828443249435519,0.463057095596044,62.2655172413793,62.6610632608912,13.1971272244873,12,11.9836122733612,4.11070343450977,-0.0740740740740741,-0.167804034227143,0.732161207956199,7.69519889361633,0.260495019553819,0.84,0.49,13,64.62,1.36,6.2,13.04,0.45,NA,0.969136679851546
"31","31SW","surface","Lake",2023-07-17,"Peatland",68.35855,19.0404,14.96,7.17,63,0.07,32,89.5,0.092,0.2987424,2.8775,14.4847916666667,0.00031835372881857,843.011885390729,24.9138259174352,0.066998348,0.457230652,6.059932958,0.243235743,-7.85,1517.19784900789,0.472577913201949,0.881627573334492,0,0.0031568658495063,0.494770429272447,60.3,60.2100293232891,14.1009572342647,12,12.4049871023216,4.21996786615782,-0.0555555555555556,-0.191847314160862,0.981704975297209,7.83580689606209,0.262764916178163,0.6,0.63,17.13,60.38,1,4.43,15.22,0.54,0.06,0.843011885390729
"32","32SW","surface","Lake",2023-07-17,"Peatland",68.35926,19.02516,15.63,7.31,62.3,0.05,26,123.4,2.162,0.3019233,2.8775,14.4847916666667,0.00107424088932403,0,27.6275284830749,0.076965273,0.327580279,5.772237622,0.208930655,-7.07,831.064317843428,0.181915242678051,0.881627573334492,0.0571428571428569,0.0258027826899631,0.496385430653018,58.6714285714286,59.564620693336,14.146984773611,12,12.52353506244,4.22770445997971,-0.0714285714285714,-0.227978193119759,0.92670291481896,7.77745999687852,0.260072580539212,0.54,0.48,18.04,59.09,0.8,4.19,16.51,0.29,0.06,0
"34","Site34","surface","Stream",2023-07-17,"Peatland",68.35819,19.04127,14.31,6.91,58.8,0.07,34,121.9,0.002,0.029248,2.8775,14.4847916666667,0.00031835372881872,965.457950248809,30.8820181859683,NA,0.547407567,5.739806511,0.185862416,-10.52,3007.12773068304,2.53472793107598,2.02180888588715,-0.193548387096774,-0.173236034420074,0.418547033852491,65.8161290322581,65.2372269809721,11.928590464796,12,11.8691066997519,3.70358773106807,0,-0.104391752771164,0.595914136831369,7.23404765706492,0.246003148777845,0.68,0.62,9.97,74.55,0.93,4.09,8.54,0.62,NA,0.965457950248809
"35","35SW","surface","Stream",2023-07-18,"Peatland",68.3581,19.04115,14.2,6.41,56.5,0.07,34,130.2,0.002,0.029248,3.63021276595745,10.8877083333333,0.00031835372874684,975.45795024878,NA,0.043859079,0.562447524,NA,NA,-10.69,5896.80094024595,5.3475094080989,2.02180888588674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97545795024878
"37","37SW","surface","Stream",2023-07-18,"Peatland",68.35759,19.04124,14.05,6.7,54.7,0.07,34,140.6,0.002,0.029248,3.63021276595745,10.8877083333333,0.00013955598501548,1031.78802839829,NA,0.146215162,0.551684781,NA,NA,-10.9,4203.93894810769,3.70284496815306,2.02079295710686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03178802839829
"38","38SW","surface","Stream",2023-07-18,"Peatland",68.35719905,19.04143009,14.26,6.36,55.2,0.08,34,127.3,0.002,0.029248,3.63021276595745,10.8877083333333,0.00071397718533627,1074.71266943551,28.0267850162996,0.054278408,0.562129323,5.240785873,0.186992046,-11.3233333333333,6773.97356937391,6.20529899847427,2.02405681836708,0,0.0156310835331855,0.482540708533182,60.3,59.8545141193042,13.7524101931957,12,11.9577768203361,3.98260561305471,-0.0625,-0.210088139414241,0.953801784172794,7.52999962544525,0.251549618791069,0.56,0.69,17.3,60.03,0.52,3.53,16.91,0.34,0.13,1.07471266943551
